No,Kode,Nama Emiten,Kode_YFinance,Papan
394,HFEO,HFEO Company Tbk.,HFEO.JK,Pengembangan
395,HFSQ,HFSQ Company Tbk.,HFSQ.JK,Akselerasi
396,HFTP,HFTP Company Tbk.,HFTP.JK,Utama
397,HICH,HICH Company Tbk.,HICH.JK,Pengembangan
398,HIFX,HIFX Company Tbk.,HIFX.JK,Akselerasi
399,HIIB,HIIB Company Tbk.,HIIB.JK,Utama
400,HJTN,HJTN Company Tbk.,HJTN.JK,Pengembangan
401,HLVV,HLVV Company Tbk.,HLVV.JK,Akselerasi
402,HMLX,HMLX Company Tbk.,HMLX.JK,Utama
403,HMSP,H.M. Sampoerna Tbk.,HMSP.JK,Pengembangan
404,HNTO,HNTO Company Tbk.,HNTO.JK,Akselerasi
405,HOQT,HOQT Company Tbk.,HOQT.JK,Utama
406,HOZZ,HOZZ Company Tbk.,HOZZ.JK,Pengembangan
407,HQAA,HQAA Company Tbk.,HQAA.JK,Akselerasi
408,HQEK,HQEK Company Tbk.,HQEK.JK,Utama
409,HRLE,HRLE Company Tbk.,HRLE.JK,Pengembangan
410,HRUM,Harum Energy Tbk.,HRUM.JK,Akselerasi
411,HRXF,HRXF Company Tbk.,HRXF.JK,Utama
412,HTMG,HTMG Company Tbk.,HTMG.JK,Pengembangan
413,HUBN,HUBN Company Tbk.,HUBN.JK,Akselerasi
414,HXDA,HXDA Company Tbk.,HXDA.JK,Utama
415,HXSI,HXSI Company Tbk.,HXSI.JK,Pengembangan
416,HXZV,HXZV Company Tbk.,HXZV.JK,Akselerasi
417,HYJH,HYJH Company Tbk.,HYJH.JK,Utama
418,HZEI,HZEI Company Tbk.,HZEI.JK,Pengembangan
419,HZQL,HZQL Company Tbk.,HZQL.JK,Akselerasi
420,IADM,IADM Company Tbk.,IADM.JK,Utama
421,IATA,Indonesia Transport & Infrastructure Tbk.,IATA.JK,Pengembangan
422,ICBP,Indofood CBP Sukses Makmur Tbk.,ICBP.JK,Akselerasi
423,ICIE,ICIE Company Tbk.,ICIE.JK,Utama
424,IDIU,IDIU Company Tbk.,IDIU.JK,Pengembangan
425,IEIP,IEIP Company Tbk.,IEIP.JK,Akselerasi
426,IEOD,IEOD Company Tbk.,IEOD.JK,Utama
427,IFTQ,IFTQ Company Tbk.,IFTQ.JK,Pengembangan
428,IGVS,IGVS Company Tbk.,IGVS.JK,Akselerasi
429,IGZH,IGZH Company Tbk.,IGZH.JK,Utama
430,IHTL,IHTL Company Tbk.,IHTL.JK,Pengembangan
431,IHWS,IHWS Company Tbk.,IHWS.JK,Akselerasi
432,IING,IING Company Tbk.,IING.JK,Utama
433,IKCU,IKCU Company Tbk.,IKCU.JK,Pengembangan
434,ILVB,ILVB Company Tbk.,ILVB.JK,Akselerasi
435,INCO,Vale Indonesia Tbk.,INCO.JK,Utama
436,INDF,Indofood Sukses Makmur Tbk.,INDF.JK,Pengembangan
437,INDY,Indika Energy Tbk.,INDY.JK,Akselerasi
438,INKP,Indah Kiat Pulp & Paper Tbk.,INKP.JK,Utama
439,INTP,Indocement Tunggal Prakarsa Tbk.,INTP.JK,Pengembangan
440,IQKW,IQKW Company Tbk.,IQKW.JK,Akselerasi
441,IQNF,IQNF Company Tbk.,IQNF.JK,Utama
442,IRKJ,IRKJ Company Tbk.,IRKJ.JK,Pengembangan
443,IRKV,IRKV Company Tbk.,IRKV.JK,Akselerasi
444,ISAT,Indosat Tbk.,ISAT.JK,Utama
445,ISQG,ISQG Company Tbk.,ISQG.JK,Pengembangan
446,ISWZ,ISWZ Company Tbk.,ISWZ.JK,Akselerasi
447,ITMG,Indo Tambangraya Megah Tbk.,ITMG.JK,Utama
448,IVDW,IVDW Company Tbk.,IVDW.JK,Pengembangan
449,IVGC,IVGC Company Tbk.,IVGC.JK,Akselerasi
450,IVKT,IVKT Company Tbk.,IVKT.JK,Utama
451,IVRT,IVRT Company Tbk.,IVRT.JK,Pengembangan
452,IWGT,IWGT Company Tbk.,IWGT.JK,Akselerasi
453,IWRM,IWRM Company Tbk.,IWRM.JK,Utama
454,IXNE,IXNE Company Tbk.,IXNE.JK,Pengembangan
455,JCAP,JCAP Company Tbk.,JCAP.JK,Akselerasi
456,JEJZ,JEJZ Company Tbk.,JEJZ.JK,Utama
457,JFDH,JFDH Company Tbk.,JFDH.JK,Pengembangan
458,JGCQ,JGCQ Company Tbk.,JGCQ.JK,Akselerasi
459,JGXZ,JGXZ Company Tbk.,JGXZ.JK,Utama
460,JGYZ,JGYZ Company Tbk.,JGYZ.JK,Pengembangan
461,JHIZ,JHIZ Company Tbk.,JHIZ.JK,Akselerasi
462,JIFR,JIFR Company Tbk.,JIFR.JK,Utama
463,JKAA,JKAA Company Tbk.,JKAA.JK,Pengembangan
464,JKHE,JKHE Company Tbk.,JKHE.JK,Akselerasi
465,JKKB,JKKB Company Tbk.,JKKB.JK,Utama
466,JKUT,JKUT Company Tbk.,JKUT.JK,Pengembangan
467,JLXP,JLXP Company Tbk.,JLXP.JK,Akselerasi
468,JMWE,JMWE Company Tbk.,JMWE.JK,Utama
469,JOLC,JOLC Company Tbk.,JOLC.JK,Pengembangan
470,JPFA,Japfa Comfeed Indonesia Tbk.,JPFA.JK,Akselerasi
471,JPOK,JPOK Company Tbk.,JPOK.JK,Utama
472,JPRO,JPRO Company Tbk.,JPRO.JK,Pengembangan
473,JQEE,JQEE Company Tbk.,JQEE.JK,Akselerasi
474,JQVK,JQVK Company Tbk.,JQVK.JK,Utama
475,JRQH,JRQH Company Tbk.,JRQH.JK,Pengembangan
476,JSCZ,JSCZ Company Tbk.,JSCZ.JK,Akselerasi
477,JSMR,Jasa Marga (Persero) Tbk.,JSMR.JK,Utama
478,JTDE,JTDE Company Tbk.,JTDE.JK,Pengembangan
479,JXBR,JXBR Company Tbk.,JXBR.JK,Akselerasi
480,JXQY,JXQY Company Tbk.,JXQY.JK,Utama
481,JYNK,JYNK Company Tbk.,JYNK.JK,Pengembangan
482,JZYQ,JZYQ Company Tbk.,JZYQ.JK,Akselerasi
483,JZZK,JZZK Company Tbk.,JZZK.JK,Utama
484,KABL,KABL Company Tbk.,KABL.JK,Pengembangan
485,KAEF,Kimia Farma Tbk.,KAEF.JK,Akselerasi
486,KAWP,KAWP Company Tbk.,KAWP.JK,Utama
487,KBST,KBST Company Tbk.,KBST.JK,Pengembangan
488,KHCW,KHCW Company Tbk.,KHCW.JK,Akselerasi
489,KHNU,KHNU Company Tbk.,KHNU.JK,Utama
490,KJZC,KJZC Company Tbk.,KJZC.JK,Pengembangan
491,KKWX,KKWX Company Tbk.,KKWX.JK,Akselerasi
492,KLBF,Kalbe Farma Tbk.,KLBF.JK,Utama
493,KNAB,KNAB Company Tbk.,KNAB.JK,Pengembangan
494,KOFK,KOFK Company Tbk.,KOFK.JK,Akselerasi
495,KOJL,KOJL Company Tbk.,KOJL.JK,Utama
496,KOKA,Koka Indonesia Tbk.,KOKA.JK,Pengembangan
497,KOXS,KOXS Company Tbk.,KOXS.JK,Akselerasi
498,KPEU,KPEU Company Tbk.,KPEU.JK,Utama
499,KQDY,KQDY Company Tbk.,KQDY.JK,Pengembangan
500,KRGL,KRGL Company Tbk.,KRGL.JK,Akselerasi
501,KRGP,KRGP Company Tbk.,KRGP.JK,Utama
502,KRXU,KRXU Company Tbk.,KRXU.JK,Pengembangan
503,KRXY,KRXY Company Tbk.,KRXY.JK,Akselerasi
504,KSCS,KSCS Company Tbk.,KSCS.JK,Utama
505,KSYU,KSYU Company Tbk.,KSYU.JK,Pengembangan
506,KTJK,KTJK Company Tbk.,KTJK.JK,Akselerasi
507,KTKZ,KTKZ Company Tbk.,KTKZ.JK,Utama
508,KXEO,KXEO Company Tbk.,KXEO.JK,Pengembangan
509,KYPQ,KYPQ Company Tbk.,KYPQ.JK,Akselerasi
510,LABA,Ladangbaja Murni Tbk.,LABA.JK,Utama
511,LBHZ,LBHZ Company Tbk.,LBHZ.JK,Pengembangan
512,LBRO,LBRO Company Tbk.,LBRO.JK,Akselerasi
513,LCGO,LCGO Company Tbk.,LCGO.JK,Utama
514,LCLH,LCLH Company Tbk.,LCLH.JK,Pengembangan
515,LCUB,LCUB Company Tbk.,LCUB.JK,Akselerasi
516,LDYL,LDYL Company Tbk.,LDYL.JK,Utama
517,LEMX,LEMX Company Tbk.,LEMX.JK,Pengembangan
518,LFGA,LFGA Company Tbk.,LFGA.JK,Akselerasi
519,LFGJ,LFGJ Company Tbk.,LFGJ.JK,Utama
520,LGOZ,LGOZ Company Tbk.,LGOZ.JK,Pengembangan
521,LIGR,LIGR Company Tbk.,LIGR.JK,Akselerasi
522,LIVE,Homeco Victoria Makmur Tbk.,LIVE.JK,Utama
523,LJKM,LJKM Company Tbk.,LJKM.JK,Pengembangan
524,LJPK,LJPK Company Tbk.,LJPK.JK,Akselerasi
525,LJVR,LJVR Company Tbk.,LJVR.JK,Utama
526,LJZB,LJZB Company Tbk.,LJZB.JK,Pengembangan
527,LLBV,LLBV Company Tbk.,LLBV.JK,Akselerasi
528,LMEJ,LMEJ Company Tbk.,LMEJ.JK,Utama
529,LMLU,LMLU Company Tbk.,LMLU.JK,Pengembangan
530,LPNI,LPNI Company Tbk.,LPNI.JK,Akselerasi
531,LPPF,Matahari Department Store Tbk.,LPPF.JK,Utama
532,LRSG,LRSG Company Tbk.,LRSG.JK,Pengembangan
533,LSIP,PP London Sumatra Indonesia Tbk.,LSIP.JK,Akselerasi
534,LSNO,LSNO Company Tbk.,LSNO.JK,Utama
535,LTJE,LTJE Company Tbk.,LTJE.JK,Pengembangan
536,LTLP,LTLP Company Tbk.,LTLP.JK,Akselerasi
537,LTVT,LTVT Company Tbk.,LTVT.JK,Utama
538,LTYF,LTYF Company Tbk.,LTYF.JK,Pengembangan
539,LUWR,LUWR Company Tbk.,LUWR.JK,Akselerasi
540,LWTS,LWTS Company Tbk.,LWTS.JK,Utama
541,LXCR,LXCR Company Tbk.,LXCR.JK,Pengembangan
542,LZJD,LZJD Company Tbk.,LZJD.JK,Akselerasi
543,MAPI,Mitra Adiperkasa Tbk.,MAPI.JK,Utama
544,MBMA,Merdeka Battery Materials Tbk.,MBMA.JK,Pengembangan
545,MBRP,MBRP Company Tbk.,MBRP.JK,Akselerasi
546,MCXH,MCXH Company Tbk.,MCXH.JK,Utama
547,MDKA,Merdeka Copper Gold Tbk.,MDKA.JK,Pengembangan
548,MDUJ,MDUJ Company Tbk.,MDUJ.JK,Akselerasi
549,MDXQ,MDXQ Company Tbk.,MDXQ.JK,Utama
550,MEDC,Medco Energi Internasional Tbk.,MEDC.JK,Pengembangan
551,MEHU,MEHU Company Tbk.,MEHU.JK,Akselerasi
552,MELI,MELI Company Tbk.,MELI.JK,Utama
553,MEPY,MEPY Company Tbk.,MEPY.JK,Pengembangan
554,MFCY,MFCY Company Tbk.,MFCY.JK,Akselerasi
555,MGIN,MGIN Company Tbk.,MGIN.JK,Utama
556,MGLG,MGLG Company Tbk.,MGLG.JK,Pengembangan
557,MHIN,MHIN Company Tbk.,MHIN.JK,Akselerasi
558,MHSK,MHSK Company Tbk.,MHSK.JK,Utama
559,MINE,Shinada Jaya Lestari Tbk.,MINE.JK,Pengembangan
560,MIQB,MIQB Company Tbk.,MIQB.JK,Akselerasi
561,MKRV,MKRV Company Tbk.,MKRV.JK,Utama
562,MKTJ,MKTJ Company Tbk.,MKTJ.JK,Pengembangan
563,MKUT,MKUT Company Tbk.,MKUT.JK,Akselerasi
564,MKXG,MKXG Company Tbk.,MKXG.JK,Utama
565,MLGS,MLGS Company Tbk.,MLGS.JK,Pengembangan
566,MMCO,MMCO Company Tbk.,MMCO.JK,Akselerasi
567,MMEA,MMEA Company Tbk.,MMEA.JK,Utama
568,MNCN,Media Nusantara Citra Tbk.,MNCN.JK,Pengembangan
569,MNCV,MNCV Company Tbk.,MNCV.JK,Akselerasi
570,MOQA,MOQA Company Tbk.,MOQA.JK,Utama
571,MOXP,MOXP Company Tbk.,MOXP.JK,Pengembangan
572,MRRW,MRRW Company Tbk.,MRRW.JK,Akselerasi
573,MSJG,MSJG Company Tbk.,MSJG.JK,Utama
574,MTEL,Dayamitra Telekomunikasi Tbk.,MTEL.JK,Pengembangan
575,MUTU,Mutuagung Lestari Tbk.,MUTU.JK,Akselerasi
576,MWPO,MWPO Company Tbk.,MWPO.JK,Utama
577,MYXX,MYXX Company Tbk.,MYXX.JK,Pengembangan
578,NAMQ,NAMQ Company Tbk.,NAMQ.JK,Akselerasi
579,NCKL,Trimegah Bangun Persada Tbk.,NCKL.JK,Utama
580,NDAR,NDAR Company Tbk.,NDAR.JK,Pengembangan
581,NGRO,NGRO Company Tbk.,NGRO.JK,Akselerasi
582,NHRZ,NHRZ Company Tbk.,NHRZ.JK,Utama
583,NICE,Adhi Kartiko Pratama Tbk.,NICE.JK,Pengembangan
584,NJLB,NJLB Company Tbk.,NJLB.JK,Akselerasi
585,NKQZ,NKQZ Company Tbk.,NKQZ.JK,Utama
586,NLKL,NLKL Company Tbk.,NLKL.JK,Pengembangan
587,NMHV,NMHV Company Tbk.,NMHV.JK,Akselerasi
588,NMXT,NMXT Company Tbk.,NMXT.JK,Utama
589,NNYL,NNYL Company Tbk.,NNYL.JK,Pengembangan
590,NOVA,NOVA Company Tbk.,NOVA.JK,Akselerasi
591,NSAL,NSAL Company Tbk.,NSAL.JK,Utama
592,NSVD,NSVD Company Tbk.,NSVD.JK,Pengembangan
593,NUDW,NUDW Company Tbk.,NUDW.JK,Akselerasi
594,NUIA,NUIA Company Tbk.,NUIA.JK,Utama
595,NXDM,NXDM Company Tbk.,NXDM.JK,Pengembangan
596,NYRT,NYRT Company Tbk.,NYRT.JK,Akselerasi
597,NYUI,NYUI Company Tbk.,NYUI.JK,Utama
598,NZWK,NZWK Company Tbk.,NZWK.JK,Pengembangan
599,OACT,OACT Company Tbk.,OACT.JK,Akselerasi
600,OBAT,Obat Herbal Alami Tbk.,OBAT.JK,Utama
601,OBPO,OBPO Company Tbk.,OBPO.JK,Pengembangan
602,ODLI,ODLI Company Tbk.,ODLI.JK,Akselerasi
603,OEKN,OEKN Company Tbk.,OEKN.JK,Utama
604,OEYO,OEYO Company Tbk.,OEYO.JK,Pengembangan
605,OGSG,OGSG Company Tbk.,OGSG.JK,Akselerasi
606,OGZO,OGZO Company Tbk.,OGZO.JK,Utama
607,OHOH,OHOH Company Tbk.,OHOH.JK,Pengembangan
608,OIOA,OIOA Company Tbk.,OIOA.JK,Akselerasi
609,OKWH,OKWH Company Tbk.,OKWH.JK,Utama
610,OLMA,OLMA Company Tbk.,OLMA.JK,Pengembangan
611,OMGU,OMGU Company Tbk.,OMGU.JK,Akselerasi
612,ONWQ,ONWQ Company Tbk.,ONWQ.JK,Utama
613,OOMG,OOMG Company Tbk.,OOMG.JK,Pengembangan
614,OOXH,OOXH Company Tbk.,OOXH.JK,Akselerasi
615,OPAB,OPAB Company Tbk.,OPAB.JK,Utama
616,OPMZ,OPMZ Company Tbk.,OPMZ.JK,Pengembangan
617,OQAL,OQAL Company Tbk.,OQAL.JK,Akselerasi
618,OQWM,OQWM Company Tbk.,OQWM.JK,Utama
619,ORVA,ORVA Company Tbk.,ORVA.JK,Pengembangan
620,OSYQ,OSYQ Company Tbk.,OSYQ.JK,Akselerasi
621,OTET,OTET Company Tbk.,OTET.JK,Utama
622,OUJR,OUJR Company Tbk.,OUJR.JK,Pengembangan
623,OVGZ,OVGZ Company Tbk.,OVGZ.JK,Akselerasi
624,OVJB,OVJB Company Tbk.,OVJB.JK,Utama
625,OWXC,OWXC Company Tbk.,OWXC.JK,Pengembangan
626,OXYK,OXYK Company Tbk.,OXYK.JK,Akselerasi
627,OYHB,OYHB Company Tbk.,OYHB.JK,Utama
628,OZPS,OZPS Company Tbk.,OZPS.JK,Pengembangan
629,OZQI,OZQI Company Tbk.,OZQI.JK,Akselerasi
630,PAEL,PAEL Company Tbk.,PAEL.JK,Utama
631,PAPR,PAPR Company Tbk.,PAPR.JK,Pengembangan
632,PBFM,PBFM Company Tbk.,PBFM.JK,Akselerasi
633,PBOR,PBOR Company Tbk.,PBOR.JK,Utama
634,PCEE,PCEE Company Tbk.,PCEE.JK,Pengembangan
635,PCGK,PCGK Company Tbk.,PCGK.JK,Akselerasi
636,PCJR,PCJR Company Tbk.,PCJR.JK,Utama
637,PCLD,PCLD Company Tbk.,PCLD.JK,Pengembangan
638,PCVV,PCVV Company Tbk.,PCVV.JK,Akselerasi
639,PEXO,PEXO Company Tbk.,PEXO.JK,Utama
640,PFPU,PFPU Company Tbk.,PFPU.JK,Pengembangan
641,PFRG,PFRG Company Tbk.,PFRG.JK,Akselerasi
642,PGAS,Perusahaan Gas Negara Tbk.,PGAS.JK,Utama
643,PGEO,Pertamina Geothermal Energy Tbk.,PGEO.JK,Pengembangan
644,PGQO,PGQO Company Tbk.,PGQO.JK,Akselerasi
645,PJZD,PJZD Company Tbk.,PJZD.JK,Utama
646,PKXX,PKXX Company Tbk.,PKXX.JK,Pengembangan
647,PLCO,PLCO Company Tbk.,PLCO.JK,Akselerasi
648,PNFV,PNFV Company Tbk.,PNFV.JK,Utama
649,POBL,POBL Company Tbk.,POBL.JK,Pengembangan
650,POCZ,POCZ Company Tbk.,POCZ.JK,Akselerasi
651,PONI,PONI Company Tbk.,PONI.JK,Utama
652,POYN,POYN Company Tbk.,POYN.JK,Pengembangan
653,PQOI,PQOI Company Tbk.,PQOI.JK,Akselerasi
654,PQXL,PQXL Company Tbk.,PQXL.JK,Utama
655,PQYG,PQYG Company Tbk.,PQYG.JK,Pengembangan
656,PTBA,Bukit Asam Tbk.,PTBA.JK,Akselerasi
657,PTPP,PP (Persero) Tbk.,PTPP.JK,Utama
658,PTTA,PTTA Company Tbk.,PTTA.JK,Pengembangan
659,PUFB,PUFB Company Tbk.,PUFB.JK,Akselerasi
660,PUGG,PUGG Company Tbk.,PUGG.JK,Utama
661,PUHQ,PUHQ Company Tbk.,PUHQ.JK,Pengembangan
662,PUKM,PUKM Company Tbk.,PUKM.JK,Akselerasi
663,PVSL,PVSL Company Tbk.,PVSL.JK,Utama
664,PVTE,PVTE Company Tbk.,PVTE.JK,Pengembangan
665,PWON,Pakuwon Jati Tbk.,PWON.JK,Akselerasi
666,PWTH,PWTH Company Tbk.,PWTH.JK,Utama
667,PXAM,PXAM Company Tbk.,PXAM.JK,Pengembangan
668,PYVM,PYVM Company Tbk.,PYVM.JK,Akselerasi
669,PZAP,PZAP Company Tbk.,PZAP.JK,Utama
670,PZLT,PZLT Company Tbk.,PZLT.JK,Pengembangan
671,QBRM,QBRM Company Tbk.,QBRM.JK,Akselerasi
672,QCEM,QCEM Company Tbk.,QCEM.JK,Utama
673,QCGV,QCGV Company Tbk.,QCGV.JK,Pengembangan
674,QDMP,QDMP Company Tbk.,QDMP.JK,Akselerasi
675,QEYC,QEYC Company Tbk.,QEYC.JK,Utama
676,QFCE,QFCE Company Tbk.,QFCE.JK,Pengembangan
677,QFND,QFND Company Tbk.,QFND.JK,Akselerasi
678,QJYT,QJYT Company Tbk.,QJYT.JK,Utama
679,QRHL,QRHL Company Tbk.,QRHL.JK,Pengembangan
680,QSUA,QSUA Company Tbk.,QSUA.JK,Akselerasi
681,QSYD,QSYD Company Tbk.,QSYD.JK,Utama
682,QTKU,QTKU Company Tbk.,QTKU.JK,Pengembangan
683,QUEQ,QUEQ Company Tbk.,QUEQ.JK,Akselerasi
684,QUHT,QUHT Company Tbk.,QUHT.JK,Utama
685,QVCE,QVCE Company Tbk.,QVCE.JK,Pengembangan
686,QWDX,QWDX Company Tbk.,QWDX.JK,Akselerasi
687,QXHG,QXHG Company Tbk.,QXHG.JK,Utama
688,QYPB,QYPB Company Tbk.,QYPB.JK,Pengembangan
689,QYUT,QYUT Company Tbk.,QYUT.JK,Akselerasi
690,QZSA,QZSA Company Tbk.,QZSA.JK,Utama
691,RAJA,Rukun Raharja Tbk.,RAJA.JK,Pengembangan
692,RASZ,RASZ Company Tbk.,RASZ.JK,Akselerasi
693,RBCV,RBCV Company Tbk.,RBCV.JK,Utama
694,RBEB,RBEB Company Tbk.,RBEB.JK,Pengembangan
695,RBMO,RBMO Company Tbk.,RBMO.JK,Akselerasi
696,RHKR,RHKR Company Tbk.,RHKR.JK,Utama
697,RIKU,RIKU Company Tbk.,RIKU.JK,Pengembangan
698,RIWN,RIWN Company Tbk.,RIWN.JK,Akselerasi
699,RJGD,RJGD Company Tbk.,RJGD.JK,Utama
700,RLIB,RLIB Company Tbk.,RLIB.JK,Pengembangan
701,RLUK,RLUK Company Tbk.,RLUK.JK,Akselerasi
702,RMLV,RMLV Company Tbk.,RMLV.JK,Utama
703,RNGK,RNGK Company Tbk.,RNGK.JK,Pengembangan
704,RPLG,RPLG Company Tbk.,RPLG.JK,Akselerasi
705,RPQO,RPQO Company Tbk.,RPQO.JK,Utama
706,RQFE,RQFE Company Tbk.,RQFE.JK,Pengembangan
707,RQXP,RQXP Company Tbk.,RQXP.JK,Akselerasi
708,RTAX,RTAX Company Tbk.,RTAX.JK,Utama
709,RTVX,RTVX Company Tbk.,RTVX.JK,Pengembangan
710,RVAR,RVAR Company Tbk.,RVAR.JK,Akselerasi
711,RVNN,RVNN Company Tbk.,RVNN.JK,Utama
712,RVXA,RVXA Company Tbk.,RVXA.JK,Pengembangan
713,RWOD,RWOD Company Tbk.,RWOD.JK,Akselerasi
714,SAGE,Sage Green Investment Tbk.,SAGE.JK,Utama
715,SCMA,Surya Citra Media Tbk.,SCMA.JK,Pengembangan
716,SCPZ,SCPZ Company Tbk.,SCPZ.JK,Akselerasi
717,SDAG,SDAG Company Tbk.,SDAG.JK,Utama
718,SDRF,SDRF Company Tbk.,SDRF.JK,Pengembangan
719,SEBE,SEBE Company Tbk.,SEBE.JK,Akselerasi
720,SFLQ,SFLQ Company Tbk.,SFLQ.JK,Utama
721,SGGB,SGGB Company Tbk.,SGGB.JK,Pengembangan
722,SHZO,SHZO Company Tbk.,SHZO.JK,Akselerasi
723,SICO,Sigma Energy Compressindo Tbk.,SICO.JK,Utama
724,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,SIDO.JK,Pengembangan
725,SIVA,SIVA Company Tbk.,SIVA.JK,Akselerasi
726,SJAE,SJAE Company Tbk.,SJAE.JK,Utama
727,SKSG,SKSG Company Tbk.,SKSG.JK,Pengembangan
728,SMGR,Semen Indonesia (Persero) Tbk.,SMGR.JK,Akselerasi
729,SMRA,Summarecon Agung Tbk.,SMRA.JK,Utama
730,SNSP,SNSP Company Tbk.,SNSP.JK,Pengembangan
731,SNYN,SNYN Company Tbk.,SNYN.JK,Akselerasi
732,SPRE,Soraya Berjaya Indonesia Tbk.,SPRE.JK,Utama
733,SQSM,SQSM Company Tbk.,SQSM.JK,Pengembangan
734,SRBB,SRBB Company Tbk.,SRBB.JK,Akselerasi
735,SSMS,Sawit Sumbermas Sarana Tbk.,SSMS.JK,Utama
736,SSWK,SSWK Company Tbk.,SSWK.JK,Pengembangan
737,SSYK,SSYK Company Tbk.,SSYK.JK,Akselerasi
738,STAA,Sumber Tani Agung Resources Tbk.,STAA.JK,Utama
739,SUAE,SUAE Company Tbk.,SUAE.JK,Pengembangan
740,SURI,Maja Agung Latexindo Tbk.,SURI.JK,Akselerasi
741,SUZW,SUZW Company Tbk.,SUZW.JK,Utama
742,SVII,SVII Company Tbk.,SVII.JK,Pengembangan
743,SVSK,SVSK Company Tbk.,SVSK.JK,Akselerasi
744,SWMD,SWMD Company Tbk.,SWMD.JK,Utama
745,SZAZ,SZAZ Company Tbk.,SZAZ.JK,Pengembangan
746,SZBM,SZBM Company Tbk.,SZBM.JK,Akselerasi
747,SZTQ,SZTQ Company Tbk.,SZTQ.JK,Utama
748,TAPG,Triputra Agro Persada Tbk.,TAPG.JK,Pengembangan
749,TDEX,TDEX Company Tbk.,TDEX.JK,Akselerasi
750,TDGB,TDGB Company Tbk.,TDGB.JK,Utama
751,TGCF,TGCF Company Tbk.,TGCF.JK,Pengembangan
752,TGCN,TGCN Company Tbk.,TGCN.JK,Akselerasi
753,TGJG,TGJG Company Tbk.,TGJG.JK,Utama
754,TGQY,TGQY Company Tbk.,TGQY.JK,Pengembangan
755,TINS,Timah Tbk.,TINS.JK,Akselerasi
756,TJPC,TJPC Company Tbk.,TJPC.JK,Utama
757,TKEC,TKEC Company Tbk.,TKEC.JK,Pengembangan
758,TKVW,TKVW Company Tbk.,TKVW.JK,Akselerasi
759,TKZQ,TKZQ Company Tbk.,TKZQ.JK,Utama
760,TLBM,TLBM Company Tbk.,TLBM.JK,Pengembangan
761,TLCK,TLCK Company Tbk.,TLCK.JK,Akselerasi
762,TLKM,Telkom Indonesia (Persero) Tbk.,TLKM.JK,Utama
763,TLMG,TLMG Company Tbk.,TLMG.JK,Pengembangan
764,TMDW,TMDW Company Tbk.,TMDW.JK,Akselerasi
765,TMJW,TMJW Company Tbk.,TMJW.JK,Utama
766,TNTU,TNTU Company Tbk.,TNTU.JK,Pengembangan
767,TOWR,Sarana Menara Nusantara Tbk.,TOWR.JK,Akselerasi
768,TOZO,TOZO Company Tbk.,TOZO.JK,Utama
769,TPIA,Chandra Asri Pacific Tbk.,TPIA.JK,Pengembangan
770,TRFL,TRFL Company Tbk.,TRFL.JK,Akselerasi
771,TUQZ,TUQZ Company Tbk.,TUQZ.JK,Utama
772,TVFS,TVFS Company Tbk.,TVFS.JK,Pengembangan
773,TWIU,TWIU Company Tbk.,TWIU.JK,Akselerasi
774,TWPU,TWPU Company Tbk.,TWPU.JK,Utama
775,TXLH,TXLH Company Tbk.,TXLH.JK,Pengembangan
776,TYTH,TYTH Company Tbk.,TYTH.JK,Akselerasi
777,TYVV,TYVV Company Tbk.,TYVV.JK,Utama
778,TYYG,TYYG Company Tbk.,TYYG.JK,Pengembangan
779,UATY,UATY Company Tbk.,UATY.JK,Akselerasi
780,UBTD,UBTD Company Tbk.,UBTD.JK,Utama
781,UBVS,UBVS Company Tbk.,UBVS.JK,Pengembangan
782,UEOB,UEOB Company Tbk.,UEOB.JK,Akselerasi
783,UETU,UETU Company Tbk.,UETU.JK,Utama
784,UEXH,UEXH Company Tbk.,UEXH.JK,Pengembangan
785,UGBC,UGBC Company Tbk.,UGBC.JK,Akselerasi
786,UHAU,UHAU Company Tbk.,UHAU.JK,Utama
787,UHMQ,UHMQ Company Tbk.,UHMQ.JK,Pengembangan
788,UHSA,UHSA Company Tbk.,UHSA.JK,Akselerasi
789,UHXW,UHXW Company Tbk.,UHXW.JK,Utama
790,UJML,UJML Company Tbk.,UJML.JK,Pengembangan
791,ULZS,ULZS Company Tbk.,ULZS.JK,Akselerasi
792,UNNG,UNNG Company Tbk.,UNNG.JK,Utama
793,UNQZ,UNQZ Company Tbk.,UNQZ.JK,Pengembangan
794,UNSC,UNSC Company Tbk.,UNSC.JK,Akselerasi
795,UNTR,United Tractors Tbk.,UNTR.JK,Utama
796,UNVR,Unilever Indonesia Tbk.,UNVR.JK,Pengembangan
797,UQCE,UQCE Company Tbk.,UQCE.JK,Akselerasi
798,UQHS,UQHS Company Tbk.,UQHS.JK,Utama
799,UQRA,UQRA Company Tbk.,UQRA.JK,Pengembangan
800,URKA,URKA Company Tbk.,URKA.JK,Akselerasi
801,USAF,USAF Company Tbk.,USAF.JK,Utama
802,UUBG,UUBG Company Tbk.,UUBG.JK,Pengembangan
803,UUMD,UUMD Company Tbk.,UUMD.JK,Akselerasi
804,UXRG,UXRG Company Tbk.,UXRG.JK,Utama
805,UXUY,UXUY Company Tbk.,UXUY.JK,Pengembangan
806,VADL,VADL Company Tbk.,VADL.JK,Akselerasi
807,VBDU,VBDU Company Tbk.,VBDU.JK,Utama
